,amount,delta,Prev_Amount,day_of_week,day,hour,time
0,100.0,0.0007060185185185185,100.0,0,14,10,2019-01-14 10:41:51
1,300.0,18.370104166666668,300.0,1,19,18,2019-03-19 18:25:51
2,300.0,12.241469907407408,500.0,3,14,12,2019-02-14 12:09:55
3,50.0,2.7914814814814815,50.0,6,3,10,2019-03-03 10:28:06
4,50.0,0.9668402777777778,50.0,0,28,9,2019-01-28 09:45:53
5,20.0,6.288946759259259,20.0,3,7,18,2019-03-07 18:27:28
6,200.0,12.033946759259258,400.0,3,21,20,2019-02-21 20:10:42
7,100.0,21.58216435185185,100.0,5,23,5,2019-02-23 05:36:55
8,100.0,3.12806712962963,100.0,5,16,18,2019-03-16 18:50:20
9,200.0,19.807094907407407,200.0,2,30,14,2019-01-30 14:22:34
10,100.0,12.57667824074074,30.0,6,10,6,2019-02-10 06:54:15
11,190.0,2.6708796296296295,230.0,4,1,17,2019-02-01 17:02:42
12,100.0,16.00784722222222,100.0,1,12,16,2019-02-12 16:21:12
13,40.0,11.04568287037037,100.0,2,27,17,2019-02-27 17:47:54
14,150.0,8.954398148148147,80.0,2,13,17,2019-03-13 17:41:01
15,301.0,14.094780092592593,301.0,5,16,8,2019-03-16 08:50:57
16,100.0,0.003425925925925926,100.0,0,21,5,2019-01-21 05:52:05
17,400.0,0.7331365740740741,50.0,4,1,8,2019-02-01 08:20:07
18,100.0,4.050347222222222,100.0,1,26,9,2019-02-26 09:47:57
19,100.0,29.016909722222223,100.0,1,26,6,2019-03-26 06:57:12
20,100.0,3.044421296296296,40.0,3,24,6,2019-01-24 06:30:37
21,400.0,10.917407407407408,150.0,2,6,20,2019-03-06 20:26:48
22,100.0,11.939282407407408,170.0,1,19,16,2019-03-19 16:30:22
23,450.0,9.944548611111111,280.0,2,13,16,2019-02-13 16:25:17
24,100.0,0.008587962962962962,100.0,4,15,17,2019-03-15 17:50:55
25,30.0,0.05606481481481482,70.0,4,1,17,2019-03-01 17:02:47
26,30.0,2.0199074074074073,20.0,6,3,15,2019-03-03 15:17:13
27,100.0,41.49758101851852,100.0,0,18,6,2019-03-18 06:03:56
28,50.0,16.60087962962963,50.0,0,11,6,2019-03-11 06:21:48
29,200.0,7.390578703703704,200.0,2,27,15,2019-02-27 15:19:24
30,150.0,0.011006944444444444,200.0,3,10,12,2019-01-10 12:58:07
31,45.0,7.852245370370371,50.0,4,1,11,2019-02-01 11:53:00
32,250.0,7.562974537037037,200.0,5,2,4,2019-02-02 04:48:27
33,50.0,14.060833333333333,50.0,0,4,18,2019-03-04 18:29:51
34,50.0,7.366504629629629,50.0,5,2,2,2019-02-02 02:18:31
35,50.0,46.325,100.0,1,12,14,2019-03-12 14:24:45
36,50.0,7.56693287037037,50.0,6,10,9,2019-02-10 09:46:45
37,150.0,0.014444444444444444,500.0,6,10,17,2019-02-10 17:43:38
38,300.0,15.993993055555556,320.0,6,3,16,2019-03-03 16:28:11
39,50.0,0.004270833333333333,50.0,4,11,8,2019-01-11 08:54:49
40,100.0,26.421064814814816,50.0,3,7,8,2019-03-07 08:58:39
41,100.0,33.50572916666667,100.0,6,10,19,2019-03-10 19:16:57
42,100.0,2.0004050925925925,100.0,2,6,9,2019-02-06 09:06:54
43,300.0,65.08268518518518,350.0,4,15,18,2019-03-15 18:32:20
44,50.0,0.04200231481481481,800.0,5,16,18,2019-02-16 18:15:20
45,100.0,12.08511574074074,100.0,1,29,17,2019-01-29 17:15:25
46,50.0,21.007824074074072,50.0,2,30,15,2019-01-30 15:40:23
47,10.0,1.647361111111111,40.0,3,7,7,2019-02-07 07:59:08
48,50.0,7.0986921296296295,50.0,6,17,18,2019-02-17 18:22:37
49,100.0,23.777638888888887,100.0,5,23,7,2019-03-23 07:43:59
50,500.0,32.165474537037035,1000.0,1,5,18,2019-03-05 18:09:17
51,400.0,20.697881944444443,400.0,2,20,9,2019-02-20 09:47:11
52,100.0,30.94076388888889,200.0,5,23,5,2019-02-23 05:43:57
53,150.0,10.035219907407408,50.0,5,16,16,2019-02-16 16:35:54
54,300.0,9.010671296296296,200.0,0,18,16,2019-02-18 16:41:44
55,100.0,12.035393518518518,100.0,0,11,17,2019-03-11 17:02:02
56,10.0,15.811458333333333,100.0,2,6,11,2019-03-06 11:19:05
57,100.0,14.691585648148148,100.0,1,19,11,2019-03-19 11:43:43
58,200.0,15.96542824074074,200.0,6,17,15,2019-02-17 15:38:54
59,150.0,4.0490509259259255,200.0,3,24,7,2019-01-24 07:41:33
60,100.0,3.072800925925926,100.0,5,16,17,2019-02-16 17:31:57
61,1500.0,29.430694444444445,2500.0,3,7,14,2019-02-07 14:31:23
62,60.0,49.58850694444445,100.0,4,15,17,2019-03-15 17:25:01
63,130.0,7.010127314814815,120.0,0,25,10,2019-02-25 10:11:28
64,250.0,29.74994212962963,250.0,1,12,7,2019-03-12 07:06:03
65,220.0,35.028449074074075,200.0,4,15,6,2019-02-15 06:03:49
66,50.0,24.076921296296295,2.0,1,19,18,2019-02-19 18:27:09
67,200.0,44.47326388888889,280.0,5,16,1,2019-02-16 01:53:49
68,180.0,16.023923611111112,450.0,4,18,13,2019-01-18 13:06:08
69,150.0,2.9504976851851854,100.0,1,12,8,2019-02-12 08:57:36
70,200.0,11.952662037037037,20.0,2,30,3,2019-01-30 03:15:27
71,50.0,0.0025462962962962965,1.0,4,22,17,2019-03-22 17:50:50
72,25.0,0.554074074074074,25.0,2,27,7,2019-02-27 07:17:10
73,400.0,17.855185185185185,200.0,6,20,8,2019-01-20 08:53:14
74,300.0,19.964872685185185,450.0,6,10,18,2019-03-10 18:40:13
75,100.0,8.955902777777778,50.0,4,8,15,2019-02-08 15:26:45
76,270.0,2.7862847222222222,150.0,0,14,8,2019-01-14 08:13:08
77,50.0,42.197546296296295,100.0,0,18,16,2019-02-18 16:36:43
78,90.0,33.564224537037035,200.0,3,21,18,2019-02-21 18:49:43
79,100.0,4.686342592592593,200.0,4,22,16,2019-02-22 16:31:29
80,3.0,2.1155787037037035,50.0,5,16,19,2019-02-16 19:04:54
81,50.0,27.352708333333332,40.0,3,14,13,2019-02-14 13:46:59
82,50.0,12.44087962962963,50.0,0,25,4,2019-02-25 04:48:48
83,100.0,0.04005787037037037,100.0,5,16,14,2019-03-16 14:16:42
84,120.0,0.12769675925925925,200.0,1,19,12,2019-03-19 12:26:27
85,50.0,8.457314814814815,50.0,5,9,18,2019-02-09 18:22:28
86,100.0,16.32585648148148,100.0,1,12,16,2019-03-12 16:10:10
87,50.0,16.179537037037036,50.0,2,6,20,2019-02-06 20:01:37
88,50.0,4.658379629629629,50.0,0,4,7,2019-02-04 07:56:23
89,100.0,2.0850578703703704,100.0,1,22,17,2019-01-22 17:38:29
90,100.0,2.038449074074074,15.0,1,8,16,2019-01-08 16:45:08
91,70.0,5.774131944444444,100.0,1,12,16,2019-02-12 16:14:09
92,100.0,31.035219907407406,100.0,6,3,5,2019-03-03 05:58:13
93,100.0,4.063796296296296,90.0,3,28,19,2019-02-28 19:10:57
94,5.0,0.49693287037037037,100.0,1,19,5,2019-02-19 05:27:17
95,100.0,8.317974537037037,100.0,3,21,11,2019-03-21 11:03:45
96,10.0,20.586087962962964,100.0,2,30,18,2019-01-30 18:28:10
97,50.0,9.431261574074075,50.0,0,11,18,2019-03-11 18:38:11
98,100.0,0.010648148148148148,100.0,4,25,7,2019-01-25 07:45:51
99,100.0,4.7131944444444445,60.0,3,28,9,2019-02-28 09:17:28
100,200.0,20.031423611111112,100.0,1,5,20,2019-03-05 20:24:28
101,350.0,24.89695601851852,350.0,2,6,3,2019-03-06 03:54:32
102,100.0,18.2778125,100.0,3,7,16,2019-02-07 16:11:29
103,100.0,6.6935416666666665,100.0,3,14,9,2019-03-14 09:30:16
104,10.0,0.03841435185185185,500.0,2,20,17,2019-03-20 17:27:58
105,240.0,21.00888888888889,200.0,1,12,15,2019-03-12 15:03:09
106,500.0,21.079976851851853,500.0,6,10,7,2019-03-10 07:43:01
107,500.0,14.669930555555556,400.0,0,11,8,2019-02-11 08:48:10
108,150.0,13.923125,270.0,1,5,15,2019-03-05 15:52:49
109,300.0,5.9854513888888885,300.0,1,26,13,2019-02-26 13:03:46
110,400.0,31.96960648148148,500.0,2,6,3,2019-02-06 03:55:58
111,20.0,8.485266203703704,50.0,6,20,6,2019-01-20 06:59:36
112,700.0,17.087800925925926,1000.0,2,30,14,2019-01-30 14:06:58
113,200.0,24.089166666666667,200.0,0,18,16,2019-03-18 16:08:51
114,100.0,15.98366898148148,100.0,6,10,20,2019-02-10 20:30:49
115,100.0,12.008657407407407,180.0,0,25,19,2019-03-25 19:26:12
116,100.0,10.017858796296297,20.0,3,7,17,2019-03-07 17:02:58
117,100.0,2.446712962962963,55.0,6,17,3,2019-02-17 03:14:45
118,100.0,57.072094907407404,10.0,4,15,16,2019-03-15 16:53:22
119,100.0,10.991157407407407,100.0,5,16,14,2019-02-16 14:36:40
120,100.0,11.006006944444444,140.0,6,27,14,2019-01-27 14:11:12
121,500.0,4.085486111111111,200.0,2,13,8,2019-02-13 08:34:46
122,200.0,36.89263888888889,200.0,3,21,7,2019-03-21 07:53:54
123,500.0,7.403206018518518,220.0,4,22,6,2019-03-22 06:04:09
124,8.0,0.0026967592592592594,50.0,4,18,17,2019-01-18 17:26:18
125,10.0,0.0077777777777777776,17.0,3,21,16,2019-03-21 16:57:56
126,100.0,0.0037731481481481483,100.0,3,28,15,2019-02-28 15:35:58
127,6.0,0.4946412037037037,50.0,5,2,5,2019-03-02 05:03:54
128,200.0,23.803796296296298,150.0,2,13,8,2019-03-13 08:56:50
129,10.0,2.0452777777777778,5.0,0,21,16,2019-01-21 16:21:03
130,100.0,4.159918981481481,50.0,1,26,14,2019-02-26 14:33:46
131,100.0,10.096863425925926,100.0,1,12,16,2019-02-12 16:28:54
132,100.0,25.74096064814815,49.0,1,12,8,2019-02-12 08:00:06
133,300.0,8.804953703703704,500.0,2,6,4,2019-03-06 04:28:50
134,600.0,13.521458333333333,500.0,6,24,14,2019-02-24 14:38:11
135,1000.0,6.930949074074074,1000.0,5,23,12,2019-02-23 12:33:19
